"","sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img"
"31",4559,1,1,0,0,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","485185162587248_1.jpg",1.89543994232088,"Male","nb_image_wealth_rate_d20",4,"Neighborhood Wealth","485185162587248_1"
"32",4559,1,1,0,0,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","485185162587248_1.jpg",1.89543994232088,"Male","nb_image_hhinc_text_d20",40,"Average Income","485185162587248_1"
"33",4559,1,1,0,0,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","485185162587248_1.jpg",1.89543994232088,"Male","nb_image_tidiness_d20",4,"Disorder","485185162587248_1"
"34",4559,1,1,0,0,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","485185162587248_1.jpg",1.89543994232088,"Male","nb_image_walksafety_day_d20",4,"Safety - Daytime Walking","485185162587248_1"
"35",4559,1,1,0,0,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/485185162587248_1.jpg","485185162587248_1.jpg",1.89543994232088,"Male","nb_image_walksafety_night_d20",4,"Safety - Nighttime Walking","485185162587248_1"
"36",4563,1,0,0,1,1,NA,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","292264092371454_1.jpg",0.947649296094596,"Male","nb_image_wealth_rate_d20",1,"Neighborhood Wealth","292264092371454_1"
"37",4563,1,0,0,1,1,NA,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","292264092371454_1.jpg",0.947649296094596,"Male","nb_image_hhinc_text_d20",36000,"Average Income","292264092371454_1"
"38",4563,1,0,0,1,1,NA,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","292264092371454_1.jpg",0.947649296094596,"Male","nb_image_tidiness_d20",1,"Disorder","292264092371454_1"
"39",4563,1,0,0,1,1,NA,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","292264092371454_1.jpg",0.947649296094596,"Male","nb_image_walksafety_day_d20",1,"Safety - Daytime Walking","292264092371454_1"
"40",4563,1,0,0,1,1,NA,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/292264092371454_1.jpg","292264092371454_1.jpg",0.947649296094596,"Male","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","292264092371454_1"
"41",4564,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","319953132834337_2.jpg",0.325886816734388,"Female","nb_image_wealth_rate_d20",2,"Neighborhood Wealth","319953132834337_2"
"42",4564,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","319953132834337_2.jpg",0.325886816734388,"Female","nb_image_hhinc_text_d20",30000,"Average Income","319953132834337_2"
"43",4564,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","319953132834337_2.jpg",0.325886816734388,"Female","nb_image_tidiness_d20",3,"Disorder","319953132834337_2"
"44",4564,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","319953132834337_2.jpg",0.325886816734388,"Female","nb_image_walksafety_day_d20",3,"Safety - Daytime Walking","319953132834337_2"
"45",4564,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/319953132834337_2.jpg","319953132834337_2.jpg",0.325886816734388,"Female","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","319953132834337_2"
