bias,rmse,ece,alpha,delta,method
-0.054703700715992766,0.1665000023663535,0.0683355286968259,0.5,0.72,PLDL-Weighted
0.025473638331614458,0.1578006231606252,0.03890897367922212,0.5,0.72,Majority
0.025473638331614458,0.1578006231606252,0.03890897367922212,0.5,0.72,Weighted
0.025473638331614458,0.1578006231606252,0.03890897367922212,0.5,0.72,PLDL-Weighted
0.017995300060509777,0.15120751317018638,0.03080896611845476,0.5,0.72,Majority
0.017995300060509777,0.15120751317018638,0.03080896611845476,0.5,0.72,Weighted
0.017995300060509777,0.15120751317018638,0.03080896611845476,0.5,0.72,PLDL-Weighted
-0.04352680071791359,0.15718429881622617,0.056797722227879,0.5,0.72,Majority
-0.04352680071791359,0.15718429881622617,0.056797722227879,0.5,0.72,Weighted
-0.04352680071791359,0.15718429881622617,0.056797722227879,0.5,0.72,PLDL-Weighted
-0.08691679907235957,0.18165930207644357,0.09716395449767593,0.5,0.72,Majority
-0.08691679907235957,0.18165930207644357,0.09716395449767593,0.5,0.72,Weighted
-0.08691679907235957,0.18165930207644357,0.09716395449767593,0.5,0.72,PLDL-Weighted
-0.012280679459708467,0.14627443789043787,0.03432568266352283,0.5,0.72,Majority
-0.012280679459708467,0.14627443789043787,0.03432568266352283,0.5,0.72,Weighted
-0.012280679459708467,0.14627443789043787,0.03432568266352283,0.5,0.72,PLDL-Weighted
0.05216226728149844,0.16589189607378918,0.05117323848645746,0.5,0.72,Majority
0.05216226728149844,0.16589189607378918,0.05117323848645746,0.5,0.72,Weighted
0.05216226728149844,0.16589189607378918,0.05117323848645746,0.5,0.72,PLDL-Weighted
0.0463609710318717,0.16372011109422344,0.05002533596153635,0.5,0.72,Majority
0.0463609710318717,0.16372011109422344,0.05002533596153635,0.5,0.72,Weighted
0.0463609710318717,0.16372011109422344,0.05002533596153635,0.5,0.72,PLDL-Weighted
0.021532068395271588,0.14606299005933956,0.03545776358253566,0.5,0.72,Majority
0.021532068395271588,0.14606299005933956,0.03545776358253566,0.5,0.72,Weighted
0.021532068395271588,0.14606299005933956,0.03545776358253566,0.5,0.72,PLDL-Weighted
0.014513130471331124,0.1516426619853519,0.040764937410572605,0.5,0.72,Majority
0.014513130471331124,0.1516426619853519,0.040764937410572605,0.5,0.72,Weighted
0.014513130471331124,0.1516426619853519,0.040764937410572605,0.5,0.72,PLDL-Weighted
0.08687925102980745,0.19089215755199743,0.07019657296750459,0.5,0.72,Majority
0.08687925102980745,0.19089215755199743,0.07019657296750459,0.5,0.72,Weighted
0.08687925102980745,0.19089215755199743,0.07019657296750459,0.5,0.72,PLDL-Weighted
-0.045614639857966544,0.16179122492980355,0.058103654458454015,0.5,0.72,Majority
-0.045614639857966544,0.16179122492980355,0.058103654458454015,0.5,0.72,Weighted
-0.045614639857966544,0.16179122492980355,0.058103654458454015,0.5,0.72,PLDL-Weighted
-0.06274724074661224,0.17436805654769444,0.07612731743231585,0.5,0.72,Majority
-0.06274724074661224,0.17436805654769444,0.07612731743231585,0.5,0.72,Weighted
-0.06274724074661224,0.17436805654769444,0.07612731743231585,0.5,0.72,PLDL-Weighted
